SiteID,861847,Site Timezone,-7,Data Timezone,0,Longitude,-104.996551514,Latitude,39.7413291931
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),wind speed at 120m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa)
2013,1,1,0,30,3.75,-4.38,3.74,95.75,82730
2013,1,1,1,30,2.68,-4.59,2.66,106.07000000000001,82770
2013,1,1,2,30,1.48,-4.6000000000000005,1.43,107.60000000000001,82790
2013,1,1,3,30,0.44,-4.68,0.42,164.44,82810
2013,1,1,4,30,2.15,-5.18,2.06,301.13,82850
2013,1,1,5,30,1.62,-5.38,1.54,296.22,82870
2013,1,1,6,30,0.96,-5.47,0.85,294.23,82890
2013,1,1,7,30,1.59,-5.8,1.51,287.78000000000003,82920
2013,1,1,8,30,1.1400000000000001,-6.2,1.1,283.75,82950
2013,1,1,9,30,1.09,-6.47,1.07,264.06,82960
2013,1,1,10,30,1.1400000000000001,-6.8100000000000005,1.21,221.56,82960
2013,1,1,11,30,1.32,-7.16,1.36,194.77,82990
2013,1,1,12,30,1.32,-7.3,1.3900000000000001,193.58,83020
2013,1,1,13,30,1.21,-7.45,1.34,186.49,83050
2013,1,1,14,30,0.48,-7.61,0.84,201.69,83060
2013,1,1,15,30,0.81,-7.15,1.29,149.4,83080
2013,1,1,16,30,1,-6.37,1.36,155.37,83120
2013,1,1,17,30,0.76,-4.46,1,126.26,83120
2013,1,1,18,30,1.18,-2.94,1.27,106.71000000000001,83100
2013,1,1,19,30,1.5,-2.1,1.54,81.36,83090
2013,1,1,20,30,2.54,-2.0100000000000002,2.5500000000000003,65.13,83100
2013,1,1,21,30,2.23,-1.7,2.24,88.88,83060
2013,1,1,22,30,2.54,-1.6500000000000001,2.57,114.5,83020
2013,1,1,23,30,2.5300000000000002,-2.0300000000000002,2.57,113.73,83020
2013,1,2,0,30,2.7600000000000002,-2.2800000000000002,3,176.37,83040
2013,1,2,1,30,2.07,-3.22,2.33,192.52,83050
2013,1,2,2,30,1.92,-3.49,2.0100000000000002,193.89000000000001,83060
2013,1,2,3,30,0.6,-3.5100000000000002,1.04,278.11,83070
2013,1,2,4,30,0.79,-3.42,0.64,135.58,83130
2013,1,2,5,30,3.12,-2.72,3.66,295.27,83140
2013,1,2,6,30,2.46,-3.0700000000000003,2.95,296.93,83150
