SiteID,861847,Site Timezone,-7,Data Timezone,0,Longitude,-104.996551514,Latitude,39.7413291931
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),wind speed at 120m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa)
2012,1,1,0,30,4.82,1.25,5.76,5.69,83510
2012,1,1,1,30,3.54,0.67,3.47,349.54,83630
2012,1,1,2,30,2.87,0.37,2.93,16.44,83670
2012,1,1,3,30,2.38,-0.11,2.47,50.5,83730
2012,1,1,4,30,3.47,-0.74,3.59,77.39,83780
2012,1,1,5,30,3.5,-1.3800000000000001,3.08,174.46,83800
2012,1,1,6,30,4.99,-1.6300000000000001,5.05,148.84,83830
2012,1,1,7,30,5.38,-1.98,5.8100000000000005,151.24,83840
2012,1,1,8,30,5.05,-1.8800000000000001,5.73,152.37,83850
2012,1,1,9,30,3.5700000000000003,-2.24,4.2700000000000005,159.09,83850
2012,1,1,10,30,3.38,-2.34,4.23,139.45000000000002,83850
2012,1,1,11,30,2.16,-2.44,2.46,139.61,83900
2012,1,1,12,30,0.4,-2.72,0.38,272.42,83960
2012,1,1,13,30,1.96,-3.3000000000000003,1.76,347.56,84030
2012,1,1,14,30,2.57,-3.7800000000000002,2.45,341.83,84100
2012,1,1,15,30,2,-4.07,2.43,356.85,84190
2012,1,1,16,30,0.98,-3.34,1.03,358.73,84280
2012,1,1,17,30,1.86,-2.42,1.84,6.97,84300
2012,1,1,18,30,3.11,-1.42,3.09,16.69,84330
2012,1,1,19,30,3.13,-0.68,3.14,19.93,84370
2012,1,1,20,30,2.52,-0.25,2.5300000000000002,22.96,84400
2012,1,1,21,30,1.59,0.32,1.57,13.200000000000001,84400
2012,1,1,22,30,1.86,0.64,1.85,344.23,84400
2012,1,1,23,30,2.58,0.59,2.43,342.53000000000003,84420
2012,1,2,0,30,2.49,0.04,2.8000000000000003,66.24,84470
2012,1,2,1,30,3.31,-1.17,3.87,79.79,84510
2012,1,2,2,30,3.84,-2.2,4.12,77.49,84520
2012,1,2,3,30,2.77,-2.43,2.93,77.26,84520
